Sentence,Claim,Article
Und vielleicht nochmal zu den Kosten.,False,
"Ohne mich hier jetzt ins Feuer zu begeben: Ich würde sagen, was vor allem wichtig ist, (ist), was Frau Teichert vorhin auch angetönt hat.",False,
"Muss die Blue-tooth-Funktion immer eingeschaltet sein, damit die App funktioniert?",False,
"Dieses Projekt ist sehr wichtig für die Pflanzenzüchter, und die gesamte deutsche Pflanzenzüchterschaft hat sich entschieden, dass wir positive Beispiele zeigen, um das Potenzial aufzuzeigen von neuen Züchtungsmethoden, also Genomeditierung.",True,
"Er meint damit, dass viele Bereiche der ökologischen Landwirtschaft sich durch eigene Vorschriften darin einschränken, mögliche neue Werkzeuge, die in der ökologischen Landwirtschaft hilfreich sein könnten, nicht zu nutzen.",True,
Und die Genomeditierung ist eines dieser möglichen Themen.,False,
Er ist Fachgebietsleiter für Ökologische Pflanzenzüchtung und Agrarbiodiversität an der Universität Kassel.,False,
Und sehen Sie denn aus rein wissenschaftlicher Sicht die Möglichkeit und das Potenzial für die grüne Gentechnik auch in der ökologischen Landwirtschaft?,False,
"Was verstehen Sie unter ökologischer Landwirtschaft, weil das ist ja ein Brand, das ist eine Marke, das wollen Sie offensichtlich.",False,
"Es wird natürlich erwartet, dass das Endprodukt noch besser ist in vieler Hinsicht, aber die Regulation der ökologischen Landwirtschaft geht über einen Prozess.",True,
"Auf der anderen Seite muss man sehen, dass wir in der ökologischen Landwirtschaft eigentlich auf das gehen, was … also Herr Weber hat vorhin über quantitative Resistenzen gesprochen.",True,
"Also eine quantitative Resistenz ist in meinem Verständnis nicht nur Resistenz, die nur multigen ist, sondern auch eine Resistenz, die nicht 100 Prozent wirkt.",True,
"Ich gehe mal direkt in die Fragen, weil hier kommen einige.",False,
"Aufgrund der fortschreitenden Zeit würde ich gern jetzt mal ein bisschen weiter gehen, auch in Richtung der Regulierung der Pflanzen.",False,
"Da würde ich Sie gerne als erstes fragen: Wie schätzen Sie das Ergebnis ein, auf das die Studie gekommen ist?",False,
"Auch das, was Herr Falk gerade vorhin gesagt hat, dass das dazu führt, dass das dann auf einer breiten Basis durchgeführt wird und nicht nur auf Einzelinitiativen.",False,
"Und ich denke, dass Europa da gerade in Pflanzenzüchtung, in der Forschung der Pflanzenzüchtung durchaus eine sehr große Rolle spielt.",True,
"Es gilt eben, genetische Ressourcen verfügbar zu machen, und da ist das Sortenrecht sehr wichtig.",True,
"Weil immer die Gefahr besteht, weil er das vielleicht nicht weiß und keine Dokumentation da ist, wie ist das entstanden, auf welchem Weg?",False,
"Aber es gab gerade jetzt vom Bundesamt für Verbraucherschutz und Lebensmittelsicherheit eine Stellungnahme zu dieser Studie und die zeigten, dass der Test, der damals entwickelt worden ist, auch auf Ackerunkräuter anspricht, dass er auch auf manche Rapssorten anspricht.",True,
"Also es ist sehr, sehr schwierig und in vielen Fällen unmöglich, kausal nachzuweisen, dass eine Mutation durch diesen Prozess, durch eine Genom Editierung oder durch eine herkömmliche Mutagenese gemacht worden ist.",True,
"Das heißt verhindern wollen, dass es zu langanhaltenden Infektionsketten in der Bevölkerung kommt.",False,
"Für mich die allerwichtigste Information sind eigene Beobachtungen und Beobachtungen von Kollegen, dass dieses Virus anscheinend doch eine aktive Replikation im Rachenbereich durchführt.",True,
"Und das ist etwas, das man so verstehen muss, dass eigentlich über den ganzen Januar Experten das SARS-Virus als Denkmodell verwendet haben.",True,
"Da musste gewährleistet sein, dass es eine zentrale Beratungsstelle für rückkehrendes, eigenes Personal aber auch für Studierende gibt.",False,
"Gerade heute und gestern kam eine neue Fall-Definition aus China zu uns, dass dort jetzt eine sogenannte sind syndromische Surveillance sozusagen angestrebt wird, dass heißt dass man bei Patienten mit Lungenentzündung erst einmal davon ausgeht, dass die wahrscheinlich den neuen Erreger in sich tragen und nicht diese Bestätigung durch den virologischen Test abwartet.",False,
"Wieviel Viren können noch da sein, dass ein Patient sozusagen per RT-PCR-negativ getestet ist?",False,
Und dass man sich einfach mal mit dieser Erkrankung befasst.,False,
"Aber der Punkt ist genau der, dass die Menschen sich darauf vorbereiten.",False,
"Also, dass Asiaten besonders anfällig sind für das Virus?",False,
"Also kann das sein, dass das Lokal anders gespielt wird als außerhalb von China?",False,
"Man sollte etwas darüber lesen und sollte sich überlegen, was man in seiner eigenen sozialen Situation eigentlich tun würde, wenn es denn so wäre, dass eine Pandemiewelle kommt, und dass wir eine Zeit von ein paar Wochen haben – das geht ja auch vorbei – das sind nur ein paar Wochen, wo wir viele Infektionsfälle hätten und wie man darauf reagieren würde.",True,
Insbesondere inwiefern ist das anhaltende Lob für die Maßnahmen des chinesischen Regimes angemessen?,False,
"Und zwar wird hier gefragt, ob eigentlich Szenarien über das Verhalten von Pflegepersonal im Falle einer solchen pandemischen Ausbreitung existieren?",False,
"Gibt es da Erfahrung, dass da Abwesenheiten drohen?",False,
"Natürlich haben wir Erfahrung bei Influenzageschehnissen, weil wir ja regelhaft aufrufen, dass sich das eigene Personal, wenn verfügbar, impfen lässt.",True,
"Wenn Sie sagten, dass schon Menschen, die ganz, ganz schwache Symptome zeigen, ansteckend sind?",False,
"Fangen wir gleich mal mit den Oberflächen an, vielleicht an Herrn Wendtner die Frage.",False,
Vielleicht Herr Wendtner dazu: Wo werden Proben entnommen und wo müssen sie entnommen werden?,False,
"Bei SARS waren das ja Karnivore, also Schleichkatzen oder auch Marderhunde, die viruspositiv gefunden wurden und die gehandelt werden, die auch gezüchtet werden.",True,
"Wie gesagt, da sind sogar Studien dabei, die noch nicht begutachtet sind und kommen zu dem Schluss: Dieses Wurmmittel sollte bei COVID-19 nicht eingesetzt werden.",True,
"Eine Firma wird nur dann in eine klinische Studie gehen, wenn zumindest gute In-Vitro-Daten vorliegen die idealerweise zeigen, dass es einen klaren antiviralen Effekt gibt sowohl in Zellkulturen – wichtig dabei [sind] Primärzellensysteme aber auch im Versuchstier.",True,
"Da war ja auch eine Frage im Chat, warum kann ich nicht mehr Medikamente geben als Heilversuche.",False,
"Es ist meines Erachtens naiv, einfach mal Medikamente einzusetzen, die nicht in guten randomisierten Studien einen Benefit für die Patienten gezeigt haben.",True,
"Aber kommt die (Förderung) wirklich da an, wo sie benötigt wird?",False,
"Herr Bloch, Sie sind Professor für Experimentelle Physik an der Ludwig-Maximilians-Universität in München und Direktor am Max-Planck-Institut für Quantenoptik in Garching bei München und da auch Leiter der Abteilung Quanten-Vielteilchensys-teme.",False,
"Diese fehlerkorrigierenden Quantenrechner, die also auch fehlertolerant sind – die also Fehler, die sich in der Rechnung darstellen werden, unweigerlich auch korrigieren können und mit denen umgehen können – da ist es noch ein recht weiter Weg hin.",True,
"Es gibt Problemklassen, von denen wir wissen, ziemlich sicher wissen, dass Quantenrechner vorteil-haft sein sollten, die Probleme zu lösen.",True,
"Herr Wil-helm-Mauch, mit OpenSuperQ sind Sie ja Koordinator eines Projekts, das auch durch das EU-Flagschiff-Projekt zu Quantencomputern gefördert wird, mit dem Ziel, einen europäischen Quantencomputer zu entwerfen und herzustellen.",True,
"Oder ist das eher irrele-vant, weil es eh europäische Kooperationen geben muss?",False,
"Sie sind Professor für Theoretische Physik am Center for Quantum Physics an der Universität Innsbruck und Forschungsleiter am Institut für Quantenoptik und Quanteninformation an der Österreichischen Akademie der Wissenschaften, ebenfalls in Innsbruck, Österreich.",False,
"Ich möchte noch einmal betonen, was auch vorhin schon kurz erwähnt worden ist, dass wir natürlich meilen-weit von dem entfernt sind, wo wir diesen skalierbaren, ultimativen, fehlertoleranten, programmierbaren Quantenrechner bauen, den viele von diesen Quantenalgorithmen, die wir im Hintergrund haben, ich denk an Shor-Faktorisierung oder all diese ganzen Anwendungen jetzt brauchen, die wir auch in Richtung Quantenche-mie vielleicht brauchen, oder wenn man dann irgendwelche Medikamente entwickeln will oder solche Dinge – davon sind wir relativ weit entfernt.",True,
"Es fängt ja nicht nur (bei) USA, China (an), sondern es beginnt schon eigentlich bei UK, Israel, momentan Schweiz, wo schon Diskussionen laufen, die nicht mehr an den Programmen der EU partizipieren zu lassen in dem Bereich, weil die sozusagen immer technologieorientierter werden.",False,
"Man darf nicht vergessen, dass es ein weiteres Quanten-Überlegenheitsexperiment mit einer photonischen Basis gab, das letzten Herbst von der chinesischen Akademie der Wissenschaft herausgekommen ist, das mei-nes Erachtens ein noch künstlicheres Benchmark hat als das von Google.",True,
"Man sollte offen sein und wenn es darum geht, Forschungsförderung zu machen, sollte die nicht mit der Gießkanne hineingehen, aber gleichzeitig doch eine gewisse Offenheit haben, dass man jenen Dingen, die nicht traditionell sind und die für Überraschungen gut sind, die Möglichkeit gibt, zu überleben oder sich zu beweisen.",True,
"Auch wenn ich einen kleinen Quantenrechner habe und mehrere hundert Quantengatter ausführen kann, ist es offensichtlich besser, als wenn ich eine riesige Zahl habe, aber nur ein einziges Quantengatter ausführen kann, das vielleicht sogar trivial ist.",True,
"Aber diese Dinge dann auch in Richtung Industrie zu entwickeln, oder dass dann Start-ups entstehen, da ist das Klima in Europa ein viel schwierigeres, wenn ich meine Kollegen in den USA anschaue, die dann ihre Firmen gründen und dann natürlich sehr leicht zu Venture Capital kommen.",True,
"Und vielen Dank natürlich vor allem an Sie, Herr Bloch, Herr Wilhelm-Mauch und Herr Zoller.",False,
"Bundeskanzlerin Merkel hat ja verkündet, dass die Kontaktbeschränkungen verlängert werden.",True,
"Egal, ob es um die Akzeptanz einer Tracing-App geht oder vielleicht eine Akzeptanz eines zukünftigen Impfstoffs, ist das Vertrauen in die Behörden ganz zentral wichtig.",True,
Professor Dr. Klaus Lieb ist Direktor des Leibniz-Instituts für Resilienz-Forschung in Mainz und Direktor der Klinik für Psychiatrie und Psychotherapie an der Universitätsmedizin in Mainz.,False,
"Und das ist auch, was die Leute relativ gut hinbekommen, also diese sozialen Kontakte auch aufrechtzuerhalten in der Krise.",True,
"Das heißt, dieses Gefühl, isoliert zu sein, kann ein Stück weit kompensiert werden dadurch, dass sich die Menschen intensiv mit anderen austauschen und Informationen nutzen und das zeigen die Daten sehr gut, finde ich.",True,
"Also, wie gesagt, ich glaube, dass einfach Kommunikation und Information zur Unsicherheitsbewältigung der Menschen beitragen.",True,
"Das heißt, es ist nicht der einzelne Informationskanal, wie das einzelne Formate, der einzelne Informationsanbieter, der hier eine Rolle spielt, sondern wir müssen bedenken, dass die Menschen in ihrem Alltag die Informationsbausteine, die sie aus allen Ecken persönlich und medial vermittelt bekommen, zusammenbauen und daraus ihr Gesamtbild entsteht.",True,
"Ich beobachte das eigentlich ganz, und ich kann mir vorstellen, dass eine Strategie, dass es extra Seiten immer zu Corona gibt, extra Sendungen zu Corona gibt, dass man also als Mediennutzerinnen und Mediennutzern auch die Möglichkeit hat, sich bewusst diesen Corona Fenstern zuzuwenden und sich zu informieren.",True,
"Aber genauso Fenster hat Seiten oder Bücher in der Tageszeitung genauso wie Unterhaltungsformate im Fernsehen, und die sind ja nach wie vor immer noch vorhanden und Unterhaltungsmedien werden aktuell auch sehr, sehr intensiv genutzt.",False,
"Ich denke, dass mir die Kritik schon sehr ernst nehmen muss, weil es gibt ja auch noch sehr viel andere Themen in der Welt, die wichtig sind, aber vielleicht nochmal aus psychologischer Sicht: wir haben gesehen, in der Auswertung der COSMO-Panel Daten, dass die Angst oder die Ängstlichkeit der Bevölkerung sehr stark mit dem Medienkonsum korreliert, und zwar hauptsächlich mit der Häufigkeit des Medienkonsums.",True,
"Es ist eine Korrelation, eine positive Korrelation zwischen dem Konsum von Medien und insbesondere der Menge des Konsums und der Ängste, der verstärkten Ängstlichkeit der Befragten.",True,
"Das heißt, diejenigen, die aktiv nach Informationen suchen, die gute Information haben wollen, die werden die in den entsprechenden Quellen finden.",True,
"Denn wenn man die Kausal-Richtung umdreht, dann sind ja, die die viele Information suchen, möglicherweise eben auch die, die damit ihre Unsicherheit zu bewältigen suchen.",True,
"Und zwar ist die Frage: Da ja Frauen offensichtlich seltener, die Fragestellerin sagt sogar schwächer erkranken, ich weiß gar nicht ob das so ist, könnte es sein, dass Frauen sozusagen zuerst wieder ins gesellschaftliche Leben zurückkehren würden.",True,
"Und was bedeutet das für die Gesellschaft, wenn nur jeder mal ab und zu eine Ausnahme macht?",False,
"Das Impfbeispiel ist ja nur ein Beispiel, das sofort die Frage aufwirft: Was ist eigentlich ein elektiver Eingriff oder eine elektive Maßnahme, auf die man verzichten kann?",True,
"Aber Frau Betsch, eine wichtige Nachfrage nochmal: Was machen wir denn, wenn sozusagen falsche Botschaften hängen geblieben sind in der Kommunikation, die korrigiert werden müssen?",False,
Also da ist ja ein Widerspruch?,False,
"Und so werden wir das thematisch an die Themen anpassen, die gesellschaftlich relevant sind und auch politisch natürlich relevant.",False,
Aber zunächst mal erstmal vielen Dank für das Interesse draußen und vielen danke nochmal an die Expertinnen und den Experten.,False,
"Der CAR-T-Experte unterscheidet die erste, zweite, dritte und inzwischen sogar vierte Generation von CAR-T-Zellen und wird erläutern, was künftig von dieser Therapie an Nutzen und Risiken zu erwarten ist.",True,
Er ist wissenschaftlicher Geschäftsführer translationaler Onkologie an der Universitätsmedizin Mainz sowie Gründer und CEO der Biotech Firma BioNtech in Mainz.,False,
"Diese Zielstruktur ist insofern recht sicher, weil sie auf diesen Tumor-zellen erkannt wird und auch Normalgewebe luminal – also im Innenraum des Darm nur exprimiert wird, was 3 die T-Zelle normal nicht sehen kann.",True,
"Die Motivation ist, dass Krebs eine Erkrankung ist, die durch genetische Mutation, durch Veränderung stattfindet.",True,
"Das heißt, selbst wenn ein Medikament bei einem Patienten zunächst wirkt, kann es passieren, dass über die Zeit eben Krebs-zellen herauswachsen, die auf das Medikament nicht ansprechen.",True,
"Und das eben war auch wiederum eine gute Möglichkeit diesen Austausch, diesen Informationstransfer von den Regulato-ren zu den Entwicklern, aber auch von den Entwicklern zu uns, zu lernen, was sind die Herausforderungen, welche Hürden sind zu nehmen, wie können wir auch unterstützend tätig sein um das zu fördern.",False,
"Vielleicht können sie nochmal kurz den Überblick geben, also die meisten klinischen Studien, soweit ich das verstanden habe, ich habe gerade noch einmal im clinicaltrials.gov nachgeschaut, laufen im Moment in den USA und China.",True,
"Jetzt können Sie sich vorstellen erst einmal die T-Zelle erkennt die Zielstruktur unabhängig davon, ob das nun eine gesunde Zelle oder eine Tumorzelle, eine Krebszelle ist.",True,
"Also der Cytokinsturm, Cytokinreleasesyndrom oder CRS, ist eine massive Nebenwirkung ungefähr bei 50 Prozent der Patienten, ist behandlungspflichtig, muss teilweise sogar auf Intensivstation be-handelt werden, ist transierend, vorübergehend, flaut wieder ab.",True,
Also bei Ihnen ist das ja ein bisschen anders.,False,
Und auch eben die produktspezifi-schen Komponenten in diese klinische Prüfung eingearbeitet sind.,False,
"Ja, vielleicht den Namen nochmal kurz sagen für alle.",False,
"Jetzt als Forscher, ist da nach Ihrer Einsicht, sind ja viele Grundfragen, die geklärt werden mussten, die weiterhin geklärt werden müssen.",False,
Wie kann man die neurologischen Nebenwirkungen im Griff behalten?,False,
"Ich würde gerne nochmal eine Frage an die Wirksamkeit und vor allem, dass auch der Nachweis der Wirksam-keit.",False,
Aus verschiedens-ten Gründen vermehren sich bei einigen Patienten die CAR-T-Zellen nicht hinreichend.,True,
"Wir gehen davon aus, es ist begründete Hoffnung, dass die Therapie anhaltend ist, wo sie denn eine komplette Remission gemacht hat.",False,
"Die Forschung ist zurzeit dabei, wie kann ich verhindern, dass ein Relapse kommt durch Antigen-Verlust?",False,
"Und der dritte Punkt ist, warum kann eine CAR-T-Zelltherapie an-haltend sein?",False,
"Und das Besondere der T-Zelle ist, dass sie Gedächtniszellen ausbilden kann, soge-nannte Memory-Zellen.",True,
"Volker Stollorz: (1:06:10) Okay, letzte Frage, Martin Winkelheide.",False,
"Dann sind die Experten auch noch hier, also Sie können auch noch weiterhin individuelle Fragen natürlich stellen, das ist klar.",False,
"Und könnte das ein Problem sein bei soliden Tumoren, dass es diesen Stimulus nicht gibt?",False,
"Ich begrüße die anwesenden Journalisten hier vor Ort, aber auch die Kollegen und Kolleginnen im Live-Stream und vor allem ein herzliches Willkommen an unsere Experten.",False,
"Wir wissen für die Lungenerkrankungen genauso wie für die koronare Herzkrankheit, also die Bedrohung durch einen Herzinfarkt, dass ein minimaler Konsum von ein, zwei, drei Zigaretten pro Tag, nahezu schon das volle Risiko eines Standardkonsums von 20 Zigaretten erreicht in dieser Größenordnung.",True,
"Was die Regulationen angeht, muss man sagen: Wenn das Produkt schon im Markt ist, dann sollte es tatsächlich auch hinreichend standardisiert sein.",True,
"Er leitet klinische Studien zur Tabakentwöhnung, unter anderem auch die DEBRA-Studie, die seit 2016 fortlaufend die Bevölkerung zu ihrem Tabakkonsum befragt.",False,
Sie ist Public Health Wissenschaftlerin und Experte für Tabakkontrolle am Deutschen Krebsforschungszentrum in Heidelberg.,False,
"Bei der Tabakentwöhnung ist es so, dass es zumindest einige Studien gibt, die darauf hindeuten, dass E-Zigaretten beim Rauchstopp nützen können.",True,
"Eine große Studie aus England, die im letzten Jahr publiziert wurde, hat gezeigt, dass die E-Zigarette dort auch deutlich besser war als Nikotinersatzprodukte, also Nikotinpflaster und ähnliche Produkte.",True,
"Die dritte Frage, also die Frage, ob E-Zigaretten den Einstieg fördern können, ist auch noch nicht ganz beantwortet.",True,
"Und die große Frage ist tatsächlich: Ist dieser Zusammenhang, den man in diesen Studien sieht, tatsächlich kausal?",False,
"Ich glaube auch, dass die Tabakindustrie gar nicht versucht, darauf zu zielen, dass mehr Leute wieder Zigarettenrauchen, sondern dass das ein Ersatzprodukt wird.",True,
"Der ist speziell verarbeitet, dieser Tabak, sodass er hoch erhitzt werden kann, ohne verbrannt zu werden, wie das bei einer herkömmlichen Zigarette der Fall ist.",True,
"Es ist in diesen Studien oftmals auch so, dass die Daten nicht ganz vergleichbar sind, weil gerade E-Zigarettenkonsum dann nicht mal als wirklich regelmäßiger Konsum abgefragt wird, sondern nur noch als 30-Tages-Konsum.",True,
"Was eben auch so ein bisschen zu berücksichtigen ist: Bei den Studien, die das Potenzial von E-Zigaretten als Einstiegsdroge untersucht haben, war, dass viele von denen zu einem Zeitraum gemacht worden sind, als E-Zigaretten noch nicht unter Jugendschutzgesetze gefallen sind.",True,
"Und ich sehe das eigentlich auch so, dass es schade wäre, wenn man das Potenzial der E-Zigarette nicht nutzen würde, um abhängigen Tabakrauchinnen und Rauchern zu helfen.",True,
"Auch Nikotinersatzpräparate, Kaugummi und so weiter werden oft viel zu schnell abgesetzt, weil man es vielleicht nicht mag, ein Pflaster aufzukleben auf der Haut, weil das zu Irritationen führt, weil man den Geschmack von dem Nikotinkaugummi nicht mag, weil es sehr, sehr teuer ist und so weiter.",True,
"Es ist tatsächlich so, dass die E-Zigaretten nicht unter die Nichtraucherschutzgesetze 11 fallen.",True,
"Und noch eine Frage an Herrn Kotz: In Ihrer Studie ist ja zu sehen, dass die Zahl der Rauchstoppversuche bis Herbst 2016 kontinuierlich zugenommen haben und dann aber ziemlich abrupt abbrechen und seitdem stetig nach unten gehen bei den Rauchern.",True,
"ab wann kann man denn vielleicht damit rechnen, dass es dann auch Studien gibt, die sich die Langzeitwirkung von elektronischen Zigaretten genau angeguckt haben?",False,
"Und wo wir irgendwann auch solche Verhaltensweisen an Erkrankungen koppeln können, untersuchen können, wie das miteinander zusammenhängt.",False,
"Weil auch nochmal im Nebensatz gesagt wurde, dass man bei der E-Zigarette auch nicht wisse, ob da eine COPD entsteht.",True,
"Herr Professor Janssen, ich würde gerne bei Ihnen ganz konkret anfangen.",False,
"Wir haben uns da vor einem Jahr oder zu Beginn 2019 in der Charité auch interdisziplinär zusammengetan, einfach um die Ressourcen besser nutzen zu können, um auch die Inhalte besser verteilen zu können.",False,
"Und wenn die anfangen aufzubrauchen, schon die nächste Ebene reinschalten, dass man schon frühzeitig weiß, wohin geht die Reise morgen, übermorgen?",False,
"Dass die Kooperation, die wir jetzt nicht nur sehen, sondern wie jetzt total notwendig ist, dass das systemwidrig ist unter normalen Umständen.",False,
Und wo sind wirklich die qualifizierten Krankenhäuser und wie viele brauchen wir davon für die verschiedenen Krankheiten?,False,
"Wir müssen die Krankenhausplanung, die in vielen Bundesländern eigentlich nur ein Verzeichnis der Krankenhäuser ist, wo drin steht, was die machen, was gar nichts mit Planung zu tun hat.",False,
"Und wenn sie die Lizenz haben, ein Krankenhaus zu sein, ein privater Krankenhausbetreiber, dann müssen Sie innerhalb der Aufgaben handeln, die Ihnen da übertragen wurden und nicht nur das machen was Sie möchten",True,
"Wo es genau darum geht, vielleicht auch den Punkt zu finden: Wann muss ein Patient wirklich nach oben abverlegt werden?",False,
Ganz kurz vielleicht so grob die Faktoren die da reinspielen.,False,
"Es spielt zum einen natürlich eine Rolle: Wie sieht unser Impfstatus aus und das zweite ist: Wie sieht das Risiko aus, bei einer Infektion dann eine schwere, intensivpflichtige Erkrankung zu erleiden.",False,
"Nein, ich glaube, dass ein paar wichtige Faktoren, die Impfungen und die Impfrate in den unter-schiedlichen Altersgruppen.",True,
"Aber dieses exponentielle Wachstum, obwohl keine Maßnahmen eingezogen werden, eben gar nicht mehr sich ausbreiten kann.",False,
"Man muss sich bewusst wein, dass da überall relativ große Unsicherh-eien bestehen was den Impfschutz der unterschiedlichen Impfungen anbelangt mit den neuen Varianten.",True,
"Ein wichtiger Faktor ist auch, dass wir wahrscheinlich meist kein sehr gutes Bild von der Bevölkerung, die nicht geimpft ist, was die Gesundheitsfaktoren oder oder Zusatzerkran-kungen anbelangt.",True,
"Also nochmal bezogen auf die Daten, die Herr Schuppert gerade gezeigt, das könnte z.B.",False,
"Ist es da nicht von Nachteil, dass das sehr weit nachläuft, ist die Frage von außen.",False,
"Ich denke, dass innerhalb der Pflegeheime, Altersheime, der hochbetagten Menschen eine Herdenimmunität beinahe erreicht werden könnte, dass sich nur noch sehr langsam eine eigenständige Werle ausprägt, so dass also wirklich die Infektionen von außen eingetragen werden.",True,
"Kann es sein, dass wir mittlerweile regional zumindest so eine natürliche Grenze erreichen können mit den Inziden-zen?",False,
"Kann es sein, dass einfach zu wenig Leute mittlerweile regional da sind, die sich das Virus schnappen könnte?",False,
"Also das ist sicher wichtig und das sollte man frühzeitig ansprechen in meinen Augen, weil das hat dann relativ große Konsequenzen, ob man wirklich noch allen Fällen nachgehen möchte, ob die Leute wirklich noch strikt Quarantäne einhalten sollen oder ob es da gewisse Lockerungen gibt, solange die Situa-tion in den Spitälern verkraftbar ist.",True,
"Es war ja auch eine Frage zu Österreich, ob das vergleichbar ist.",False,
"In UK sieht man, dass die Fallzahlen sogar schon wieder sinken, ohne dass jetzt irgendwie der Freedom Day zurückgenommen wurde.",True,
"Und auch hier macht es einfach Sinn, auf die Hospitalisation zu schauen, das ist die tatsächliche Belastung des Gesundheitswesens und dieser Anstieg oder kurzfristige Rück-gang der bestätigten Fälle, der kann oft sehr trügerisch sein.",True,
"Vielleicht für die Journalist*innen, die zuhören: Die Daten können Sie auch später bekommen, wenn da Interesse besteht.",False,
"Wir sehen das gerade hier bei uns in Köln: Es sind die Berufstätigen, die im Moment auf der In-tensivstation liegen.",True,
Da würde ich gerne nochmal eben kurz die Nachfrage an die beiden Fachleute für Intensivsta-tionen stellen.,False,
"Das erste ist, dass natürlich die immun stimulierende Aktivität der RNA auch zu Nebenwirkungen führen kann.",True,
"Zu diesem Anlass haben wir auch ein Fact Sheet für Sie zusammengestellt, welches Sie innerhalb der nächsten Stunden zugeschickt bekommen und auf unserer Website ab morgen herunterladen können.",False,
"Zum einen ist es eine Genehmigung zur klinischen Prüfung, das müssen wir von einer Zulassung unterscheiden, weil eine Zulassung ist die Endabnahme, bevor Impfstoff-Produkte vermarktet werden können und breit angewandt werden können.",True,
Da werden übrigens bei einer vorhergehenden Inspektion auch die Experten und Experten des Paul-Ehrlich-Instituts hinzugezogen.,False,
"Einer der Vorteile, nämlich die schnelle Arzneimittel-konforme Herstellung, hat uns auch geholfen, dass wir hier einen Impfstoff auch sehr zügig klinisch testen können.",True,
"Wir wissen, dass RNA-Impfstoffe auch mit einem eigenen Adjuvant, also einer eigenen Immunstimulation kommen, und dadurch ist es nicht notwendig, ein zusätzliches Adjuvanz in den Impfstoff reinzubringen.",True,
Wir würden zu den inaktivierten Impfstoffen auch zählen die RNA/DNR-Impfstoffe.,True,
"Die Vektor-Stoffe liegen irgendwo zwischen den Lebend-Attenuierten und den inaktivierten Impfstoffen, weil sie ja ein gewisses ""Leben"", das gibt es bei Viren so nicht, aber eine einmalige Replikation, sozusagen ein einmaliges Überführen der Erbinformation der ungefährlichen des Erregers bewirken können.",True,
"Das ist sehr wichtig wahrzunehmen und das andere auch: Nach der Zulassung eines Impfstoffs und der breiten Anwendung kommt erst die Empfehlung von Impfkommissionen, wie der ständigen Impfkommission.",True,
"Neben der Zulassung für bestimmte Bevölkerungsgruppen für die Impfung und nicht für die Impfstoff-Produkte und wir seitens des Paul-Ehrlich-Instituts müssen natürlich die Nebenwirkungen weiterverfolgen, um sicher zu sein, dass das Nutzen-Risikoprofil auch nach der Zulassung weiterhin gegeben ist.",True,
"Das heißt auf Basis der Verdachtsfall-Meldungen der weltweiten Geschehnisse bei der Anwendung solcher Impfstoffe sehen wir danach, dass weiterhin Nutzen weit gegenüber dem Risiko überwiegt und wenn nicht, können wir Maßnahmen dazu ergreifen.",True,
"Ist es denn Zufall, dass ausgerechnet jetzt ein Produkt weit genug ist, dass es die Marktreife erlangen kann?",False,
"Also gehen wir mal davon aus, dass der Impfstoff wirksam ist oder sich erfolgreich zeigt in der klinischen Studie und auch eine Immunität generiert.",False,
"Das eröffnet zumindest die Möglichkeit, dass hier bei solchen Impfstoffen – das trifft auf RNA- und DNA-Impfstoffe zu – eine größere Anzahl von Dosen in einer Standardzeiteinheit hergestellt werden kann.",True,
"Bei der Gelegenheit weise ich immer darauf hin, dass es notwendig sein wird, dass es mehr als ein Impfstoffprodukt gibt und dass es mehr als ein Hersteller gibt, weil das ist vonseiten eines einzelnen Beteiligten gar nicht zu schaffen.",True,
"Es ist nicht denkbar, dass ein Impfstoff in Deutschland hergestellt wird und nur in Deutschland verwendet wird.",True,
Aber all das auf die Frage 'Wie sehr spielt da die Variabilität des Erregers eine Rolle?',False,
"Aber selbst wenn sie es täte, haben wir mit den Mitteln, die wir in der Hand haben, den RNA/DNA-Vektorimpfstoffen die Möglichkeit, die Erbinformation auch für die Impfstoffe sehr schnell anzupassen und vielleicht auch die Immunität etwas zu verbreitern, um dieser Variabilität entgegenzuwirken.",True,
"Ja, es gibt turnusmäßige Treffen auch bei der Weltgesundheitsorganisation in entsprechenden Gruppen.",True,
"Und es gibt auch jetzt schon ein sogenanntes Impfstoff Solidarity Protokoll, das die WHO in ihren Gruppen entworfen hat, an dem wir auch mitgearbeitet haben, bei dem Wert daraufgelegt wird, dass auch die Bedürfnisse der Weltbevölkerung hier bei der Prüfung solcher Impfstoffe tatsächlich zur Geltung kommen.",True,
"Und auch Beobachtungen der Probanden, die geimpft werden.",False,
"Um zu überprüfen, ob derartige Antikörper dann auch genauso wie Impfungen ein Schutz vermitteln können.",False,
"Das andere sind natürlich die Verwerfungen der Windenergiebranche, was 2 Arbeitsplätze und all das angeht.",False,
"Herr Gerhardt, können Sie einen Hauch dichter zum Rechner kommen, damit man Sie besser versteht.",False,
Klimaschutz und Paris und all das heißt ja: hundert Prozent erneuerbare Energien.,True,
"Da ist ein technisches Modul eingesetzt, dass das auch regelt.",False,
"Ich denke, das ist ein ganz wichtiger Punkt, dass wir unterscheiden müssen zwischen konstruktiver Kritik, die notwendig ist in einer Demokratie und auch bei dem Ausbau der erneuerbaren Energien und zwischen einem allgemeinen Unwohlsein, was nicht weiter durch Fakten begründet ist, wenn ich das so sagen darf.",True,
